V,I
-1.7145,-0.01522
-1.7345,-0.01538
-1.7545,-0.01554
-1.7745,-0.0157
-1.7945,-0.01585
-1.8145,-0.016
-1.8345,-0.01616
-1.8545,-0.0163
-1.8745,-0.01645
-1.8945,-0.0166
-1.915,-0.01673
-1.935,-0.01688
-1.955,-0.01702
-1.975,-0.01716
-1.995,-0.0173
-2.015,-0.01744
-2.035,-0.01758
-2.055,-0.01771
-2.075,-0.01784
-2.095,-0.01797
-2.1155,-0.01812
-2.1355,-0.01825
-2.1555,-0.01838
-2.1755,-0.01851
-2.1955,-0.01864
-2.2155,-0.01876
-2.2355,-0.01889
-2.2555,-0.01901
-2.2755,-0.01913
-2.2955,-0.01925
-2.316,-0.01937
-2.336,-0.01949
-2.356,-0.0196
-2.376,-0.01971
-2.396,-0.01983
-2.416,-0.01994
-2.436,-0.02005
-2.456,-0.02016
-2.476,-0.02026
-2.496,-0.02035
-2.5165,-0.02045
-2.5365,-0.02054
-2.5565,-0.02064
-2.5765,-0.02073
-2.5965,-0.02082
-2.6165,-0.0209
-2.6365,-0.02098
-2.6565,-0.02106
-2.6765,-0.02114
-2.6965,-0.0212
-2.717,-0.02128
-2.737,-0.02136
-2.757,-0.02143
-2.777,-0.02149
-2.797,-0.02156
-2.817,-0.02162
-2.837,-0.02167
-2.857,-0.02174
-2.877,-0.0218
-2.897,-0.02186
-2.9175,-0.02192
-2.9375,-0.02198
-2.9575,-0.02204
-2.9775,-0.02208
-2.9975,-0.02214
-3.0175,-0.0222
-3.0375,-0.02225
-3.0575,-0.02231
-3.0775,-0.02237
-3.0975,-0.02244
-3.118,-0.02251
-3.138,-0.02258
-3.158,-0.02266
-3.178,-0.02273
-3.198,-0.02282
-3.218,-0.02292
-3.238,-0.02301
-3.258,-0.02313
-3.278,-0.02325
-3.298,-0.02339
-3.3185,-0.02353
-3.3385,-0.02368
-3.3585,-0.02385
-3.3785,-0.02402
-3.3985,-0.02421
-3.4185,-0.02441
-3.4385,-0.02463
-3.4585,-0.02485
-3.4785,-0.02507
-3.4985,-0.0253
-3.519,-0.02556
-3.539,-0.02579
-3.559,-0.02604
-3.579,-0.0263
-3.599,-0.02654
-3.619,-0.0268
-3.639,-0.02707
-3.659,-0.02734
-3.679,-0.0276
-3.699,-0.02787
-3.7195,-0.02815
-3.7395,-0.02842
-3.7595,-0.02871
-3.7795,-0.02898
-3.7995,-0.02926
-3.8195,-0.02955
-3.8395,-0.02984
-3.8595,-0.03
-3.8795,-0.03
-3.8995,-0.03
-3.92,-0.03
-3.94,-0.03
-3.96,-0.03
-3.98,-0.03
-4,-0.03
