V,I (mA),I
1.8745,0.01964,19.64
1.8945,0.01997,19.97
1.915,0.02032,20.32
1.935,0.02065,20.65
1.955,0.02098,20.98
1.975,0.02133,21.33
1.995,0.02166,21.66
2.015,0.022,22
2.035,0.02235,22.35
2.055,0.0227,22.7
2.075,0.02306,23.06
2.095,0.02342,23.42
2.1155,0.02378,23.78
2.1355,0.02413,24.13
2.1555,0.02449,24.49
2.1755,0.02484,24.84
2.1955,0.02518,25.18
2.2155,0.02553,25.53
2.2355,0.02587,25.87
2.2555,0.02621,26.21
2.2755,0.02653,26.53
2.2955,0.02687,26.87
2.316,0.02722,27.22
2.336,0.02756,27.56
2.356,0.02789,27.89
2.376,0.02824,28.24
2.396,0.02859,28.59
2.416,0.02892,28.92
2.436,0.02927,29.27
2.456,0.02963,29.63
2.476,0.02998,29.98
2.496,0.03,30
2.5165,0.03,30
2.5365,0.03,30
2.5565,0.03,30
2.5765,0.03,30
2.5965,0.03,30
2.6165,0.03,30
2.6365,0.03,30
2.6565,0.03,30
2.6765,0.03,30
2.6965,0.03,30
2.717,0.03,30
2.737,0.03,30
2.757,0.03,30
2.777,0.03,30
2.797,0.03,30
2.817,0.03,30
2.837,0.03,30
2.857,0.03,30
2.877,0.03,30
2.897,0.03,30
2.9175,0.03,30
2.9375,0.03,30
2.9575,0.03,30
2.9775,0.03,30
2.9975,0.03,30
3.0175,0.03,30
3.0375,0.03,30
3.0575,0.03,30
3.0775,0.03,30
3.0975,0.03,30
3.118,0.03,30
3.138,0.03,30
3.158,0.03,30
3.178,0.03,30
3.198,0.03,30
3.218,0.03,30
3.238,0.03,30
3.258,0.03,30
3.278,0.03,30
3.298,0.03,30
3.3185,0.03,30
3.3385,0.03,30
3.3585,0.03,30
3.3785,0.03,30
3.3985,0.03,30
3.4185,0.03,30
3.4385,0.03,30
3.4585,0.03,30
3.4785,0.03,30
3.4985,0.03,30
3.519,0.03,30
3.539,0.03,30
3.559,0.03,30
3.579,0.03,30
3.599,0.03,30
3.619,0.03,30
3.639,0.03,30
3.659,0.03,30
3.679,0.03,30
3.699,0.03,30
3.7195,0.03,30
3.7395,0.03,30
3.7595,0.03,30
3.7795,0.03,30
3.7995,0.03,30
3.8195,0.03,30
3.8395,0.03,30
3.8595,0.03,30
3.8795,0.03,30
3.8995,0.03,30
3.92,0.03,30
3.94,0.03,30
3.96,0.03,30
3.98,0.03,30
4,0.03,30
3.98,0.03,30
3.96,0.03,30
3.94,0.03,30
3.92,0.03,30
3.8995,0.03,30
3.8795,0.03,30
3.8595,0.03,30
3.8395,0.03,30
3.8195,0.03,30
3.7995,0.03,30
3.7795,0.03,30
3.7595,0.03,30
3.7395,0.03,30
3.7195,0.03,30
3.699,0.03,30
3.679,0.03,30
3.659,0.03,30
3.639,0.03,30
3.619,0.03,30
3.599,0.03,30
3.579,0.03,30
3.559,0.03,30
3.539,0.03,30
3.519,0.03,30
3.4985,0.03,30
3.4785,0.03,30
3.4585,0.03,30
3.4385,0.03,30
3.4185,0.03,30
3.3985,0.03,30
3.3785,0.03,30
3.3585,0.03,30
3.3385,0.03,30
3.3185,0.03,30
3.298,0.03,30
3.278,0.03,30
3.258,0.03,30
3.238,0.03,30
